topic_id,top_words,top_probabilities
31,loss@107.04 loss@82.04 frag@212.11 loss@161.04 frag@172.07 frag@76.93 frag@317.09 loss@132.05 frag@87.0 frag@240.06 frag@90.95 loss@115.07 frag@247.97 loss@85.03 loss@120.03 loss@66.01 frag@367.15 loss@80.97 loss@318.05 frag@134.96,0.2432024032 0.1012881026 0.06710082293 0.06601247191 0.03085626476 0.02482862957 0.01867192984 0.01778277755 0.01356035564 0.01238801796 0.005563078448 0.005140220281 0.005140141584 0.004946371075 0.004306215793 0.004128419794 0.003989467863 0.00388269173 0.003509339178 0.003387975041
32,loss@223.06 loss@266.13 loss@278.11 frag@273.04 loss@250.17 loss@120.09 frag@142.1 loss@290.05 frag@196.13 frag@315.14 frag@302.1 loss@203.15 loss@260.03 loss@251.12 loss@173.99 loss@220.15 loss@162.1 frag@225.04 loss@203.14 loss@355.12,0.2008358836 0.1072167009 0.0883948952 0.08625224978 0.03397788852 0.01922909357 0.01520656236 0.01075254846 0.009104559198 0.008685270324 0.007319123484 0.007124637719 0.00629235385 0.005995200016 0.005949639715 0.005551229697 0.005245273467 0.005202499684 0.004902878311 0.004868205171
33,frag@139.07 loss@235.14 loss@188.08 loss@188.13 loss@277.12 loss@199.08 loss@296.15 loss@233.12 loss@202.09 loss@231.1 loss@193.1 loss@342.09 frag@98.02 loss@189.12 loss@193.11 loss@199.09 loss@178.1 loss@227.12 loss@196.09 loss@206.11,0.0961483568 0.09419152141 0.08343888819 0.05312430114 0.04119867086 0.03914836422 0.02988795191 0.02621425502 0.02457950637 0.01434719469 0.01172304526 0.01082841493 0.008835081011 0.007312422618 0.006296299864 0.006185127422 0.005363246892 0.005129465368 0.00510494737 0.005089775659
34,frag@147.03 frag@148.02 loss@218.04 loss@182.06 frag@241.02 loss@118.09 frag@185.03 loss@234.08 loss@192.03 frag@159.1 loss@244.03 loss@188.0 loss@199.13 loss@175.0 loss@243.03 frag@135.03 loss@237.08 loss@292.04 loss@280.09 frag@220.01,0.05626207963 0.0472144559 0.04367394373 0.04131839424 0.02383120544 0.02256589755 0.01967363805 0.01494500693 0.01444330439 0.01354858838 0.01199006569 0.01154452004 0.009221001528 0.008430331014 0.00784812402 0.007563103922 0.00724136224 0.006741830148 0.006648406852 0.006422996521
35,loss@229.04 loss@234.08 loss@278.08 loss@213.05 loss@189.06 loss@272.1 loss@258.07 loss@253.06 loss@251.09 frag@123.06 loss@312.1 loss@183.07 loss@193.04 loss@201.11 loss@214.07 frag@120.04 loss@217.05 loss@195.07 loss@282.12 loss@264.09,0.1839984506 0.1603441983 0.05226072297 0.0401533097 0.01932083815 0.01843109913 0.01788989641 0.01643471979 0.01544943359 0.01492107566 0.0128615452 0.01229344588 0.01143753808 0.01075161528 0.009977653623 0.009490465745 0.008863397874 0.008848812431 0.008124293759 0.008016704582
36,frag@91.05 frag@105.07 frag@121.06 frag@119.05 frag@109.06 frag@135.08 frag@131.09 frag@149.06 loss@286.08 loss@231.06 loss@236.13 loss@219.11 loss@218.14 loss@232.16 loss@243.1 loss@222.11 loss@303.13 loss@313.17 loss@247.11 loss@225.06,0.3753199279 0.1865816712 0.0856628418 0.03661139682 0.03489607945 0.032531932 0.02710007131 0.02370988764 0.01632467099 0.01204293594 0.007951881737 0.007880705409 0.007844144478 0.00742286304 0.006631967612 0.00624736445 0.006161779631 0.006080498453 0.005286881234 0.004966224544
37,loss@204.13 loss@212.1 frag@110.99 frag@135.1 loss@168.05 loss@236.06 loss@209.03 loss@207.04 loss@127.01 loss@168.07 frag@161.11 loss@193.06 loss@191.08 loss@170.02 loss@316.09 loss@201.03 loss@187.11 loss@300.09 loss@305.16 loss@196.1,0.756320715 0.04821487144 0.0207742881 0.01591095328 0.009240838699 0.007336085197 0.00615798682 0.004999632481 0.004205437843 0.003982554656 0.002147011925 0.002113971394 0.001859670505 0.001833192655 0.001829441055 0.001783342101 0.001748097129 0.001622042735 0.001595087117 0.001564885955
38,loss@220.06 loss@273.08 frag@111.1 frag@266.06 loss@291.09 loss@225.12 frag@182.02 frag@246.09 loss@131.02 frag@260.16 loss@368.14 loss@387.17 frag@334.16 loss@234.09 frag@87.5 loss@196.99 loss@354.08 loss@171.03 loss@59.02 loss@171.95,0.1375577301 0.03359097987 0.02746111341 0.02270509303 0.01908524521 0.0158773046 0.01243390329 0.01217653602 0.01030280907 0.009237510152 0.008207311854 0.007752805948 0.007236678619 0.006910880096 0.006598169915 0.006150112022 0.006047076546 0.005900948774 0.005784353707 0.005735033192
39,frag@206.04 frag@226.11 frag@194.11 frag@246.04 frag@227.08 frag@247.11 frag@266.11 loss@125.07 loss@337.09 loss@187.16 loss@248.03 loss@330.07 frag@217.07 loss@117.03 loss@286.01 loss@184.01 frag@263.13 frag@154.95 frag@144.03 frag@214.04,0.159095794 0.02158684842 0.01960055903 0.01725309901 0.01091293432 0.01035877876 0.009448825382 0.008039912209 0.007608371321 0.007338345516 0.006986529566 0.006711905356 0.006086801179 0.005643448792 0.005475600716 0.004931616131 0.004911963362 0.004886569455 0.004865550902 0.004466873594
40,loss@227.07 loss@157.02 frag@206.03 loss@255.07 loss@207.02 loss@298.04 loss@221.16 loss@277.05 loss@146.14 loss@362.03 loss@330.08 loss@141.1 loss@283.07 loss@305.12 frag@269.04 loss@237.12 loss@194.09 frag@179.11 frag@205.02 frag@245.08,0.2775850892 0.1130911857 0.09593010694 0.08999543637 0.05757631734 0.02251860872 0.01945385896 0.01842247881 0.01564778388 0.006634971593 0.005817897618 0.004114026669 0.004067419562 0.004042272456 0.003922473639 0.003841228085 0.003786951769 0.00323786051 0.003211661475 0.003027652157
