topic_id,top_words,top_probabilities
37,loss@187.11 frag@130.03 frag@185.11 loss@191.08 loss@168.0 frag@155.06 frag@144.07 frag@172.1 frag@158.1 loss@171.07 frag@130.04 loss@244.1 frag@105.06 frag@144.08 loss@131.07 frag@133.06 frag@171.09 frag@120.04 frag@145.08 frag@143.07,0.2330417782 0.149009034 0.05825652555 0.04560689256 0.03052755632 0.02958077379 0.02255506814 0.01656232402 0.0132607678 0.01201411523 0.01136390865 0.01088902541 0.008878185414 0.008125827648 0.008125799708 0.008091901429 0.008050176315 0.007971425541 0.007513620891 0.006973081734
38,loss@273.08 frag@115.05 frag@117.07 frag@128.06 frag@306.11 loss@239.13 loss@217.09 loss@200.09 loss@264.06 loss@267.11 frag@129.07 loss@242.14 loss@231.12 frag@132.08 frag@104.06 loss@348.05 loss@376.13 loss@256.1 frag@160.08 loss@293.13,0.2658266723 0.2578041852 0.0912181735 0.02900670283 0.01554111671 0.01510803774 0.01237601228 0.009335358627 0.008447001688 0.008271947503 0.007710061967 0.00722715864 0.006408448331 0.006161482539 0.005423609167 0.005383778363 0.004633942153 0.004029968288 0.004022094421 0.003683060408
39,frag@215.06 loss@270.12 frag@301.08 frag@217.07 loss@268.13 frag@103.03 frag@111.02 loss@315.14 frag@201.1 loss@337.09 frag@210.98 frag@214.04 loss@125.07 loss@187.16 loss@259.07 frag@222.13 loss@171.1 frag@246.04 loss@130.12 loss@361.14,0.05474922061 0.03930829465 0.01390231773 0.01058831532 0.009983179159 0.007969766855 0.007472843397 0.006809749175 0.006133443676 0.005629056133 0.004627311602 0.004507124424 0.004163081292 0.003720294684 0.003689175239 0.003452543635 0.003405239666 0.003122961847 0.003023946891 0.002838858636
40,frag@193.1 loss@140.13 loss@224.14 loss@307.13 loss@374.14 frag@213.96 loss@258.12 loss@246.15 loss@272.14 loss@261.11 frag@207.11 loss@244.16 frag@164.11 loss@263.17 frag@152.04 loss@323.15 loss@228.08 loss@265.99 loss@282.13 loss@324.18,0.3648488224 0.1002265811 0.09398379922 0.08242401481 0.05441394076 0.04335983098 0.01232821494 0.005478203297 0.003165438306 0.00308760535 0.002885148395 0.002726855688 0.002576083876 0.00253974623 0.002517757937 0.002369580558 0.00232318812 0.002114927862 0.001954668202 0.001933121239
41,frag@44.05 loss@271.14 loss@243.08 loss@265.11 loss@289.12 frag@98.1 loss@236.09 loss@233.06 loss@223.06 loss@237.15 frag@96.08 loss@249.07 loss@283.1 loss@227.08 loss@264.16 frag@60.04 frag@110.1 loss@298.13 loss@234.06 frag@70.06,0.4093170762 0.08011586219 0.0672154054 0.04264890403 0.03152690828 0.02447590418 0.02418487519 0.02113804221 0.01911379583 0.01511419937 0.01404410042 0.01363686938 0.009890058078 0.008973230608 0.008335463703 0.008283989504 0.00687441742 0.006363361143 0.00614269264 0.006097893231
42,frag@101.02 loss@224.07 frag@154.04 loss@277.1 loss@244.02 loss@235.09 loss@187.03 frag@113.02 loss@303.11 loss@222.06 frag@154.01 loss@172.07 loss@211.03 loss@155.01 loss@265.1 frag@318.03 loss@246.13 loss@264.99 loss@321.19 loss@229.99,0.3314760923 0.2632158995 0.1272289902 0.09366466105 0.03995535895 0.02896779403 0.005890948698 0.005783791654 0.004322340246 0.003961669747 0.002795048524 0.002681149635 0.00209458312 0.002049638191 0.00203450839 0.002020765096 0.001922693336 0.001726187416 0.001493842108 0.001413514838
43,frag@152.97 frag@178.02 loss@206.1 loss@251.14 loss@185.99 loss@140.12 loss@241.03 frag@198.13 loss@307.18 loss@131.02 loss@172.96 loss@79.04 loss@172.13 loss@297.21 frag@188.98 loss@358.04 loss@297.08 frag@104.07 frag@248.07 frag@152.04,0.1508063227 0.09294904768 0.04618704692 0.0422296524 0.02173692547 0.01265351195 0.009957548231 0.007556275465 0.006423150189 0.006105647422 0.005736321211 0.005398625974 0.005029098131 0.00499280775 0.00467936229 0.004495749716 0.00411347067 0.004015151411 0.003010113491 0.002974471543
44,frag@243.12 loss@269.07 frag@254.12 frag@136.11 loss@186.13 loss@183.08 frag@164.07 loss@248.13 frag@151.12 frag@144.09 frag@110.07 loss@269.05 loss@278.16 frag@179.11 loss@221.13 frag@109.06 loss@191.04 frag@176.11 loss@195.1 loss@287.12,0.08755545318 0.07222811878 0.06082414463 0.04645000398 0.03672556207 0.02588080056 0.02067200467 0.01286684163 0.01060299855 0.009799000807 0.008986650035 0.008817850612 0.008300716989 0.007632109337 0.007619360462 0.006458659191 0.006265010685 0.005747140851 0.00527092116 0.005147651304
45,frag@171.07 loss@56.04 frag@152.03 loss@195.08 frag@181.01 loss@109.02 loss@184.02 frag@304.08 frag@183.07 loss@187.05 frag@59.99 loss@237.07 frag@164.03 loss@85.03 loss@90.09 frag@225.05 frag@218.14 loss@102.01 loss@184.05 loss@280.94,0.1100781187 0.06793566793 0.06265934557 0.05258891359 0.03859969229 0.03835247457 0.02529628761 0.02224681713 0.01291659661 0.01266545802 0.01246666443 0.009795174934 0.009699127637 0.009527595714 0.008951013908 0.007750552613 0.00719810091 0.007189638913 0.006365367677 0.005602026358
46,frag@164.03 loss@126.04 frag@204.06 loss@136.04 frag@157.02 loss@126.9 loss@118.07 loss@101.05 loss@167.03 loss@132.03 frag@136.01 loss@216.99 loss@108.02 loss@109.01 loss@154.04 loss@80.97 loss@41.04 loss@62.05 frag@262.1 frag@129.01,0.2554596663 0.1973773837 0.1231764853 0.07885451615 0.04408492893 0.03538089991 0.02363847196 0.01866158843 0.01515523437 0.01369828824 0.01069075614 0.00650621159 0.006321216002 0.005475509446 0.005227927584 0.00373279117 0.003373916959 0.003354439512 0.00323376595 0.002813550411
