topic_id,top_words,top_probabilities
36,frag@106.06 frag@134.06 frag@106.07 loss@186.09 loss@100.02 frag@107.07 loss@189.05 loss@232.05 loss@186.05 loss@249.09 loss@200.04 loss@217.06 frag@121.09 loss@210.05 loss@162.06 loss@247.05 loss@200.02 loss@256.04 loss@228.06 loss@275.05,0.2378937155 0.1199837923 0.06036605313 0.05490056798 0.05241847038 0.04010476917 0.03604081273 0.03066264652 0.02310881205 0.02305965126 0.01876024157 0.01711283065 0.01592635363 0.01583703235 0.0137337707 0.01362354122 0.008850097656 0.008113448508 0.007429062854 0.006006967742
37,frag@97.04 loss@196.03 frag@107.02 frag@83.03 frag@190.02 loss@211.05 loss@173.08 loss@262.12 loss@209.12 loss@228.12 loss@195.04 frag@147.05 frag@86.99 loss@214.1 loss@210.07 frag@130.03 loss@217.03 loss@222.15 loss@145.03 loss@265.05,0.2519451678 0.08287659287 0.07962836325 0.02456887253 0.02434450202 0.01941196993 0.01726286113 0.01430069096 0.0140963383 0.01100165304 0.01007324737 0.008375704288 0.007792272139 0.007454498671 0.006177691743 0.005998852663 0.005919221323 0.005913415458 0.005601507612 0.005528503098
38,frag@133.08 frag@191.08 frag@131.06 frag@161.11 frag@132.07 frag@161.07 frag@146.08 frag@159.06 loss@178.06 loss@206.06 loss@227.11 loss@202.11 frag@147.06 frag@187.12 loss@241.12 loss@179.06 loss@269.13 frag@157.08 frag@186.1 loss@208.08,0.05413995683 0.03587826341 0.03512487561 0.03088222258 0.02916498482 0.02795857377 0.02288256027 0.02007849142 0.01927472837 0.01886959188 0.01861966774 0.01653564535 0.01622343995 0.01583967917 0.01578959078 0.01350935455 0.01281552669 0.01190166082 0.01186428685 0.01142294798
39,loss@207.14 frag@201.1 frag@253.06 frag@337.17 frag@257.13 frag@101.01 frag@114.05 frag@99.01 frag@213.14 frag@213.04 frag@109.05 loss@223.11 frag@137.01 loss@214.08 loss@259.07 frag@231.06 frag@256.1 frag@199.05 frag@87.07 frag@169.02,0.4758014977 0.302806139 0.04578993097 0.02764955536 0.02268878929 0.01346868742 0.005306572653 0.005124315154 0.003615039634 0.002843463561 0.002763557015 0.002491175896 0.002435293049 0.002377890283 0.002248611767 0.001847149571 0.001781075029 0.001565750339 0.001562347985 0.001541265519
40,frag@218.06 loss@209.08 loss@210.09 frag@162.97 frag@127.01 frag@178.02 loss@279.1 loss@143.02 frag@139.07 loss@249.05 frag@121.01 frag@232.13 frag@153.0 loss@181.09 loss@240.14 loss@258.06 frag@249.13 frag@241.14 loss@218.09 frag@141.01,0.1168976501 0.1150945947 0.07942735404 0.04246911034 0.03458761796 0.03080822341 0.01687424816 0.01484210324 0.01385610085 0.01130241621 0.01103998069 0.008759259246 0.008546572179 0.008196932264 0.008092408068 0.006688150112 0.006009180099 0.005904985592 0.005770953372 0.005742405541
41,frag@44.05 loss@234.06 loss@223.06 loss@233.06 frag@98.1 loss@216.03 loss@265.11 loss@266.13 frag@96.08 loss@236.09 loss@283.1 loss@243.08 frag@70.06 frag@110.1 loss@81.97 loss@274.07 loss@298.13 loss@208.09 frag@42.03 loss@162.1,0.395231843 0.2216234058 0.07496633381 0.06640635431 0.05943753943 0.03273412585 0.01554616634 0.01032241434 0.008104473352 0.007836391218 0.007123719901 0.006149949972 0.004941830412 0.004571108613 0.00438972516 0.003678514156 0.003609787906 0.003472254146 0.00333757815 0.00303706876
42,frag@82.03 frag@55.02 loss@247.1 loss@242.12 loss@294.08 frag@178.12 loss@208.04 loss@257.09 loss@222.06 loss@233.08 loss@138.11 loss@195.09 loss@252.07 loss@287.03 loss@245.08 loss@183.09 loss@222.07 loss@258.1 loss@259.09 loss@224.09,0.2093030363 0.1793852746 0.04450197145 0.0393361263 0.03342086449 0.03342071921 0.02037930675 0.01616828889 0.0160901323 0.01395633072 0.01329416782 0.009587829933 0.009227906354 0.008766501211 0.008759105578 0.008331163786 0.006990090944 0.005974519067 0.004815976601 0.004487948027
43,frag@150.07 loss@179.11 frag@165.09 loss@216.13 loss@161.1 loss@265.09 frag@161.09 loss@280.13 loss@311.07 loss@243.01 frag@180.12 frag@190.1 loss@302.14 frag@120.06 loss@290.2 frag@178.1 loss@178.11 frag@134.07 loss@351.13 frag@180.1,0.2653542459 0.1784695089 0.1072726399 0.0811829865 0.03753957897 0.02094687149 0.02011727542 0.01690717228 0.01502268482 0.009919857606 0.00700574927 0.006559280213 0.006353420671 0.006340772845 0.00623836508 0.00548651861 0.005295809824 0.005290027708 0.005241839681 0.005157824606
44,frag@197.97 frag@212.09 frag@164.06 loss@189.11 frag@135.03 loss@252.04 loss@165.06 frag@259.05 loss@324.06 loss@269.02 loss@265.02 loss@275.08 loss@282.17 frag@341.16 loss@325.1 frag@166.13 frag@311.18 loss@279.03 loss@299.17 loss@265.06,0.05912844464 0.03429396823 0.02986381948 0.01985040493 0.01887742057 0.01207043696 0.01195421815 0.01162770204 0.009915444069 0.00944525376 0.009220851585 0.008985741064 0.00855843816 0.007493438199 0.007396348752 0.007366802078 0.007321913261 0.007275924552 0.007151674945 0.007109059487
45,frag@156.07 loss@135.03 loss@104.03 loss@142.09 frag@114.03 frag@202.04 loss@106.01 frag@235.11 loss@43.01 loss@68.01 frag@265.08 loss@62.04 frag@225.05 loss@95.04 loss@94.05 loss@70.02 frag@211.1 frag@223.05 frag@280.09 frag@281.1,0.1900177002 0.09511373937 0.07393427938 0.0635894984 0.05421472713 0.02771651186 0.0274971351 0.02158113383 0.01720263995 0.01650436223 0.01412636507 0.01184017211 0.01065353397 0.01050091162 0.009587494656 0.008598232642 0.007551158778 0.007009690162 0.00670751743 0.005597696174
