topic_id,top_words,top_probabilities
36,frag@67.05 frag@93.03 frag@55.02 frag@43.02 frag@97.06 frag@68.05 frag@53.04 frag@79.05 frag@110.1 frag@84.08 frag@209.14 frag@84.09 frag@122.06 frag@94.06 frag@57.03 frag@58.03 frag@166.09 frag@41.04 frag@82.03 frag@101.02,0.008896964602 0.005108339712 0.004781682044 0.004290171899 0.003912117332 0.003801726038 0.003700883361 0.003578514792 0.003404135816 0.003162752837 0.002928114496 0.002881950699 0.002856508596 0.002708307933 0.002630931325 0.00260705431 0.00250920211 0.002494398272 0.00248165871 0.00244568265
37,frag@180.08 frag@151.05 frag@190.06 frag@258.1 frag@154.06 frag@169.11 frag@189.07 frag@181.08 loss@159.08 frag@156.07 frag@168.07 frag@236.08 frag@178.04 frag@211.01 frag@241.1 frag@192.06 frag@143.06 frag@207.08 frag@221.11 frag@170.07,0.00128981506 0.001080742222 0.001069969032 0.001029260689 0.0009874708485 0.0009789012838 0.000967668544 0.0009634229355 0.0009612619178 0.0009123111959 0.0008819604409 0.000881181506 0.0008718832396 0.0008484835271 0.0008428340079 0.0008413129253 0.0008372403681 0.0008335154853 0.0008286442608 0.000785128097
38,frag@119.06 frag@120.06 frag@133.08 frag@105.06 frag@132.07 frag@120.04 frag@132.06 frag@134.06 frag@133.06 frag@131.06 frag@148.08 frag@139.03 frag@106.07 frag@130.03 frag@134.07 frag@147.05 frag@145.08 frag@105.04 frag@121.04 frag@106.06,0.003324416932 0.003281195881 0.003222587286 0.002961000893 0.002905116184 0.002880222164 0.002790118568 0.00272480119 0.002643208252 0.002489620354 0.002250210149 0.002182227327 0.002180154901 0.00211123866 0.002051044954 0.002035761485 0.00198833528 0.001981870038 0.001900506089 0.001791100134
39,loss@155.09 frag@169.11 frag@189.07 frag@151.05 frag@180.08 loss@127.1 frag@146.02 loss@143.09 frag@153.07 frag@72.04 frag@166.04 frag@190.06 frag@152.06 loss@159.08 loss@153.12 frag@181.06 frag@224.94 frag@165.07 frag@319.17 frag@290.14,0.001210027956 0.001127243275 0.0009905470069 0.0009776904481 0.0009538524318 0.000953525654 0.0009441897273 0.0009183539078 0.0008785185055 0.0008732261485 0.0008312662248 0.0008224424673 0.0008089689654 0.0007965618861 0.0007746387273 0.0007498200866 0.0007379231392 0.0007144810515 0.0007055990282 0.0007006070809
40,frag@181.08 frag@258.1 frag@123.02 frag@180.08 frag@192.06 frag@178.04 loss@169.06 frag@168.08 frag@307.16 frag@182.95 frag@346.04 frag@134.02 frag@182.94 frag@172.05 frag@351.18 frag@163.03 loss@135.07 frag@356.08 loss@197.1 frag@175.06,0.001004903112 0.00100055011 0.000865736336 0.0008379122592 0.0008157896809 0.000779188762 0.0007773560355 0.000770087936 0.0007679010741 0.0007629382308 0.0007463183138 0.0007421448245 0.0007418970927 0.0007416509907 0.0007371566608 0.0007220325642 0.0007196121151 0.0006992181297 0.0006924057961 0.00069127389
41,frag@83.03 frag@172.05 frag@182.95 frag@123.05 frag@318.05 frag@116.03 frag@97.04 frag@139.03 frag@171.05 frag@125.99 frag@281.14 frag@166.1 frag@134.02 frag@144.04 frag@110.99 frag@231.12 frag@307.16 frag@346.04 frag@123.02 frag@223.0,0.0008766902029 0.000835227489 0.000789540587 0.0007662856369 0.0007582511753 0.0007477395702 0.0007379933959 0.0007172608166 0.0007011856069 0.0006958378945 0.0006925583584 0.0006798187969 0.0006744941929 0.0006738003576 0.00066104898 0.0006508738734 0.0006444964092 0.0006438664859 0.0006293301703 0.000629198039
42,frag@169.11 frag@189.07 frag@290.14 frag@156.07 frag@247.16 loss@159.08 frag@202.04 frag@190.06 frag@170.08 frag@143.06 frag@293.13 frag@151.05 loss@154.07 loss@57.02 frag@196.09 loss@100.05 frag@146.02 frag@100.02 frag@229.09 loss@117.08,0.001208597445 0.001160032698 0.001101972186 0.0009943334153 0.0009833499789 0.0009572923882 0.0009436563705 0.0009282392566 0.0009185715462 0.0008953358629 0.0008851150633 0.0008776704199 0.0008730012923 0.0008408938884 0.0008396269986 0.0008356368053 0.0008282262133 0.0008157567936 0.0008141286671 0.0008041507681
43,frag@143.06 loss@159.08 frag@192.06 frag@186.1 frag@171.06 frag@181.08 frag@189.07 frag@163.03 frag@178.04 frag@170.08 frag@134.02 frag@258.1 loss@160.06 frag@268.09 loss@157.06 loss@225.09 frag@156.07 frag@182.94 frag@226.13 frag@216.08,0.001673548017 0.001458698767 0.001280791475 0.001254891744 0.001225715503 0.001211799798 0.001103885006 0.001065268763 0.001058692927 0.001057283254 0.001046399353 0.001003930112 0.0009621027275 0.0009536666912 0.00093873078 0.000931998482 0.0009282497922 0.0009250505827 0.0008547504549 0.000853752892
44,frag@67.05 frag@43.02 frag@97.06 frag@85.06 frag@41.04 frag@55.02 frag@83.09 frag@69.07 frag@84.08 frag@112.08 frag@57.03 frag@81.07 frag@110.1 loss@185.11 frag@55.05 frag@58.03 frag@95.09 frag@155.98 frag@45.03 frag@69.03,0.02091170289 0.01141469087 0.008090808988 0.006518017966 0.00544130709 0.005279776175 0.004991060589 0.00432412792 0.004204922821 0.004063612781 0.003620055737 0.003613133449 0.003496713005 0.003485947149 0.003439521883 0.003354674671 0.003142704954 0.00286888727 0.002592943609 0.002549475292
45,frag@143.06 frag@83.03 frag@192.06 loss@159.08 frag@181.08 frag@187.1 frag@186.1 frag@134.02 frag@258.1 frag@125.02 frag@268.09 loss@163.08 frag@125.03 frag@178.04 frag@290.14 frag@154.07 frag@171.06 frag@244.11 loss@191.07 frag@297.09,0.001246080385 0.001165048452 0.001143444562 0.001099497895 0.0009873751551 0.0009216446197 0.0009091162938 0.000894359895 0.0008943219436 0.0008674916462 0.0008576958789 0.0008451823378 0.0008364547975 0.0008244145429 0.0008190988447 0.00081900449 0.0008187572821 0.0008077268139 0.0007881511701 0.00078137737
